,count,tract,date
0,220,48201100000,2021-01-16
1,20,48201210100,2021-01-16
2,856,48201210400,2021-01-16
3,217,48201210500,2021-01-16
4,226,48201210600,2021-01-16
5,122,48201210700,2021-01-16
6,117,48201210800,2021-01-16
7,45,48201210900,2021-01-16
8,1075,48201211000,2021-01-16
9,236,48201211100,2021-01-16
10,109,48201211200,2021-01-16
11,170,48201211300,2021-01-16
12,193,48201211400,2021-01-16
13,289,48201211500,2021-01-16
14,93,48201211600,2021-01-16
15,151,48201211700,2021-01-16
16,241,48201211900,2021-01-16
17,146,48201212300,2021-01-16
18,140,48201212400,2021-01-16
19,164,48201212500,2021-01-16
20,95,48201220100,2021-01-16
21,125,48201220200,2021-01-16
22,162,48201220300,2021-01-16
23,229,48201220400,2021-01-16
24,354,48201220500,2021-01-16
25,111,48201220600,2021-01-16
26,310,48201220700,2021-01-16
27,142,48201220800,2021-01-16
28,93,48201220900,2021-01-16
29,412,48201221000,2021-01-16
30,235,48201221100,2021-01-16
31,313,48201221200,2021-01-16
32,380,48201221300,2021-01-16
33,237,48201221400,2021-01-16
34,792,48201221500,2021-01-16
35,369,48201221600,2021-01-16
36,301,48201221700,2021-01-16
37,152,48201221800,2021-01-16
38,283,48201221900,2021-01-16
39,111,48201222000,2021-01-16
40,269,48201222100,2021-01-16
41,202,48201222200,2021-01-16
42,227,48201222300,2021-01-16
43,163,48201222401,2021-01-16
44,264,48201222402,2021-01-16
45,107,48201222501,2021-01-16
46,162,48201222502,2021-01-16
47,191,48201222503,2021-01-16
48,163,48201222600,2021-01-16
49,300,48201222700,2021-01-16
50,177,48201222800,2021-01-16
51,380,48201222900,2021-01-16
52,156,48201223001,2021-01-16
53,483,48201223002,2021-01-16
54,141,48201223100,2021-01-16
55,79,48201230100,2021-01-16
56,283,48201230200,2021-01-16
57,100,48201230300,2021-01-16
58,142,48201230400,2021-01-16
59,312,48201230500,2021-01-16
60,138,48201230600,2021-01-16
61,128,48201230700,2021-01-16
62,146,48201230800,2021-01-16
63,352,48201230900,2021-01-16
64,174,48201231000,2021-01-16
65,293,48201231100,2021-01-16
66,318,48201231200,2021-01-16
67,187,48201231300,2021-01-16
68,136,48201231400,2021-01-16
69,145,48201231500,2021-01-16
70,217,48201231600,2021-01-16
71,184,48201231700,2021-01-16
72,138,48201231800,2021-01-16
73,195,48201231900,2021-01-16
74,202,48201232000,2021-01-16
